SINO,JOb_Title,Position,Company,Location,State,Address
175,Quality Control Scientist,Full-Time | Pay: $30k - $60k/year,PBL Assay Science,"131 Ethel Road

New York, NJ",NJ,"SouthSanFrancisco,131EthelRoadNewYork,"
176,"Research Scientist, BMA",Full-Time,"QPS, LLC","1 Innovation Way

Newark, DE


View 1 more near this location",NJ,"SouthSanFrancisco,131EthelRoadNewYork,"
177,BCD Scientist: Entry Level,Full-Time,Eurofins,"Spring House, PA",PA,"SpringHouse,"
178,"Scientist, Computational Biologist (Immunology Biomarkers)",Full-Time,Johnson & Johnson,"Spring House, PA",PA,"SpringHouse,"
179,Geologist or Scientist – Environmental Remediation – Mid Level,Full-Time,"Groundwater & Environmental Services, Inc. (GES)","Baton Rouge, LA",LA,"BatonRouge,"
180,Clinical Research Scientist,Full-Time,Yoh,"Summit, NJ",NJ,"Summit,"
181,Certifying Scientist,Full-Time,Labsource LLC,"25 Airpark Court

Greenville, SC",SC,"Summit,AirparkCourtGreenville,"
182,Principal Safety Scientist - PVRM,Full-Time,"Career Developers, Inc.","Fort Lee, NJ",NJ,"FortLee,"
183,Research Associate - Scientist,Full-Time,Kelly Scientific Resources,"Cambridge, MA",MA,"Cambridge,"
184,"Lead Scientist, Quality Control",Full-Time,Kelly Scientific Resources,"Cambridge, MA",MA,"Cambridge,"
185,Scientist,Full-Time,NatureWorks,"Minnetonka, MN",MN,"Minnetonka,"
186,"Associate Scientist, Downstream Process Development",Contractor,Apex Life Sciences,"San Diego, CA",CA,"SanDiego,"
187,"Downstream Process Development Associate Scientist, San Diego, CA",Full-Time | Pay: 28.00 - 35.00 /hour,Kelly Scientific Resources,"San Diego, CA",CA,"SanDiego,"
188,BioPharma Lab Bench Scientist I,Full-Time,Confidential,"Andover, MA",MA,"Andover,"
189,Associate Scientist BA Chemistry,Full-Time,Johnson & Johnson,"South San Francisco, CA",CA,"SouthSanFrancisco,"
190,Sr. Scientist,Contractor,ATR International,"Dallas, TX",TX,"Dallas,"
191,Sr. Drug Safety Scientist/ Sr. Pharmacovigilance Scientist,Full-Time,Real Staffing,"Durham, NC",NC,"Durham,"
192,Biochemical Support Scientist,Full-Time,Eurofins,"Spring House, PA


View 1 more",PA,"Durham,SpringHouse,View1more"
193,Spectroscopy & Instrument Support Scientist,Full-Time,Eurofins,"Groton, CT",CT,"Groton,"
194,Senior / Principal Molecular Scientist,Full-Time,Eurofins,"West Point, PA


View 1 more",PA,"Groton,WestPoint,View1more"
195,Downstream Scientist - Large Molecule,Full-Time,Eurofins,"Spring House, PA


View 2 more",PA,"Groton,WestPoint,View1moreSpringHouse,View2more"
196,Research Scientist I,Full-Time,Eurofins,"Mebane, NC",NC,"Mebane,"
197,Life Cycle Management Scientist,Full-Time,Eurofins,"Malvern, PA",PA,"Malvern,"
198,Downstream Process Development Scientist,Full-Time,Eurofins,"Kenilworth, NJ",NJ,"Kenilworth,"
199,Associate Scientist,Full-Time,Eurofins,"Lincoln, NE",NE,"Lincoln,"
200,Assistant Stability Scientist,Contractor | Pay: $20.00 - $26.73/hour,Alpha Consulting,"Syracuse, NY


View 2 more",NY,"Lincoln,Syracuse,View2more"
201,Clinical Research Scientist,Full-Time,ZOLL LifeVest,"121 Gamma Drive

Pittsburgh, PA",PA,"Lincoln,Syracuse,View2more121GammaDrivePittsburgh,"
202,"Senior Operations Scientist, Case Processing, Global Medical Safety Operations (GMSO)",Full-Time,Johnson & Johnson,"Horsham, PA


View 4 more",PA,"Lincoln,Syracuse,View2more121GammaDrivePittsburgh,Horsham,View4more"
203,Senior Scientist - Pharmacology,Full-Time,Medix,"Cambridge, MA",MA,"Cambridge,"
204,"Scientist, Host Cell Protein Method Development",Full-Time,Johnson & Johnson,"Malvern, PA


View 2 more",PA,"Cambridge,Malvern,View2more"
205,Senior Research Scientist,Full-Time | Pay: $80k - $115k/year,Aerotek,"Highland Springs, VA",VA,"HighlandSprings,"
206,"Research Scientist (Germantown, MD)",Full-Time/Part-Time | Pay: $0.00 - $56.46/hour,"Paladin Consulting, Inc","Germantown, MD",MD,"Germantown,"
207,Cell Culture Scientist,Full-Time,Eurofins,"Malvern, PA


View 4 more",PA,"Germantown,Malvern,View4more"
208,Scientist Group Leader - Second Shift,Full-Time,Eurofins,"Lancaster, PA",PA,"Lancaster,"
209,Assistant Stability Scientist,Full-Time,Spectraforce,"East Syracuse, NY",NY,"EastSyracuse,"
210,Bench Scientist I,Full-Time,Kelly Scientific Resources,"Andover, MA",MA,"Andover,"
211,Principal Medical Writing Scientist,Full-Time,Johnson & Johnson,"Raritan, NJ


View 5 more",NJ,"Andover,Raritan,View5more"
212,Associate Scientist,Full-Time,Eurofins,"Lincoln, NE",NE,"Lincoln,"
213,Sr. R&D Scientist,Full-Time,Apex Life Sciences,"Allentown, PA


View 2 more",PA,"Lincoln,Allentown,View2more"
214,Medical Laboratory Scientist III - Per Diem,Part-Time,Fresenius Medical Care,"Milpitas, CA",CA,"Milpitas,"
215,Lead Medical Laboratory Scientist CA,Full-Time,Fresenius Medical Care,"Milpitas, CA",CA,"Milpitas,"
216,Senior Scientist,Contractor,Fladger Associates,"Wilmington, DE",DE,"Wilmington,"
217,Sr. Analytical Scientist,Full-Time,Kelly Scientific Resources,"Durham, NC


View 1 more",NC,"Wilmington,Durham,View1more"
